Channel,WAV,Begin Time (s),call_type,Repetition,localization
4.0,20170617-060000_20170617-120000_CANAPE_multichannel_1245.wav,16031.010494629,51,3,2252.0
1.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,26.488598688,13,3,1.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,27.204506761,13,3,1.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,14.318161453,13,3,1.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,1002.374956797,52,3,679.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,1013.215850469,52,3,679.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,1012.193124651,52,3,679.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3434.011318106,52,3,1945.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3443.420395633,52,3,1945.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3433.909045524,52,3,1945.0
1.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3504.272581809,52,4,1946.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3500.079405955,52,4,1946.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3509.386210899,52,4,1946.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3499.465770464,52,4,1946.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3496.499865591,52,4,1947.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3505.908943118,52,4,1947.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3496.602138173,52,4,1947.0
1.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3501.715767264,52,4,1947.0
1.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3498.647589809,52,4,1948.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3493.738505883,52,4,1948.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3502.738493082,52,4,1948.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3493.738505883,52,4,1948.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3871.022521005,52,3,2193.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3880.533871113,52,3,2193.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3870.817975841,52,3,2193.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3869.386159696,52,3,2195.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3878.897509804,52,3,2195.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3869.692977441,52,3,2195.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3866.113437078,52,3,2196.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3875.624787186,52,3,2196.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3866.21570966,52,3,2196.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3864.272530606,52,3,2197.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3873.57933555,52,3,2197.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3864.272530606,52,3,2197.0
4.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3860.386172497,52,3,2198.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3869.795250023,52,3,2198.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3860.692990242,52,3,2198.0
2.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3859.158901515,52,3,2199.0
3.0,20170613-120000_20170613-180000_CANAPE_multichannel_1245.wav,3868.567979042,52,3,2199.0
